Actual Traffic Volume,Predicted Traffic Volume,Actual Congestion Level,Predicted Congestion Level,Recommendation
1478.0,665.02655,Low,Low,Traffic conditions are favorable.
1408.0,121.43361,Low,Low,Traffic conditions are favorable.
931.0,57.51764,Low,Low,Traffic conditions are favorable.
585.0,64.9091,Low,Low,Traffic conditions are favorable.
381.0,538.90784,Low,Low,Traffic conditions are favorable.
434.0,2131.197,Low,Medium,Expect moderate delays and allow extra travel time.
677.0,4182.4453,Low,High,Avoid peak hours or consider an alternative route.
811.0,3871.808,Low,Medium,Expect moderate delays and allow extra travel time.
1122.0,3318.2876,Low,Medium,Expect moderate delays and allow extra travel time.
1738.0,2866.1606,Low,Medium,Expect moderate delays and allow extra travel time.
2421.0,3068.7065,Medium,Medium,Expect moderate delays and allow extra travel time.
2908.0,3730.44,Medium,Medium,Expect moderate delays and allow extra travel time.
3214.0,4043.9001,Medium,Medium,Expect moderate delays and allow extra travel time.
3410.0,4686.479,Medium,High,Avoid peak hours or consider an alternative route.
3290.0,5202.7397,Medium,High,Avoid peak hours or consider an alternative route.
3079.0,4377.6304,Medium,Medium,Expect moderate delays and allow extra travel time.
2891.0,3687.9316,Medium,Medium,Expect moderate delays and allow extra travel time.
2199.0,2545.8752,Medium,Medium,Expect moderate delays and allow extra travel time.
1738.0,2130.2693,Low,Medium,Expect moderate delays and allow extra travel time.
1555.0,1897.9677,Low,Low,Traffic conditions are favorable.
1213.0,851.7711,Low,Low,Traffic conditions are favorable.
830.0,789.7796,Low,Low,Traffic conditions are favorable.
477.0,404.48642,Low,Low,Traffic conditions are favorable.
279.0,185.71422,Low,Low,Traffic conditions are favorable.
205.0,109.78459,Low,Low,Traffic conditions are favorable.
299.0,148.91008,Low,Low,Traffic conditions are favorable.
729.0,628.1584,Low,Low,Traffic conditions are favorable.
2544.0,2285.2888,Medium,Medium,Expect moderate delays and allow extra travel time.
4801.0,4785.551,High,High,Avoid peak hours or consider an alternative route.
5696.0,5169.115,High,High,Avoid peak hours or consider an alternative route.
4901.0,4845.864,High,High,Avoid peak hours or consider an alternative route.
4189.0,4200.89,Medium,Medium,Expect moderate delays and allow extra travel time.
4172.0,4034.1255,Medium,Medium,Expect moderate delays and allow extra travel time.
4448.0,4331.6885,Medium,Medium,Expect moderate delays and allow extra travel time.
4537.0,4300.115,Medium,Medium,Expect moderate delays and allow extra travel time.
4698.0,4590.077,High,High,Avoid peak hours or consider an alternative route.
5232.0,5101.206,High,High,Avoid peak hours or consider an alternative route.
5618.0,5724.7573,High,High,Avoid peak hours or consider an alternative route.
5618.0,5692.5825,High,High,Avoid peak hours or consider an alternative route.
5178.0,5260.6504,High,High,Avoid peak hours or consider an alternative route.
5178.0,5247.6807,High,High,Avoid peak hours or consider an alternative route.
3625.0,4026.3386,Medium,Medium,Expect moderate delays and allow extra travel time.
3625.0,4026.3386,Medium,Medium,Expect moderate delays and allow extra travel time.
2669.0,2724.2314,Medium,Medium,Expect moderate delays and allow extra travel time.
2056.0,2434.3633,Low,Medium,Expect moderate delays and allow extra travel time.
2834.0,2268.5828,Medium,Medium,Expect moderate delays and allow extra travel time.
2785.0,1675.423,Medium,Low,Traffic conditions are favorable.
599.0,555.6939,Low,Low,Traffic conditions are favorable.
353.0,336.99323,Low,Low,Traffic conditions are favorable.
353.0,336.99323,Low,Low,Traffic conditions are favorable.
283.0,247.87904,Low,Low,Traffic conditions are favorable.
358.0,376.9517,Low,Low,Traffic conditions are favorable.
811.0,871.5098,Low,Low,Traffic conditions are favorable.
2739.0,2624.9165,Medium,Medium,Expect moderate delays and allow extra travel time.
6017.0,5584.2554,High,High,Avoid peak hours or consider an alternative route.
5398.0,5256.679,High,High,Avoid peak hours or consider an alternative route.
5142.0,4628.903,High,High,Avoid peak hours or consider an alternative route.
4092.0,4310.306,Medium,Medium,Expect moderate delays and allow extra travel time.
4328.0,4468.5527,Medium,Medium,Expect moderate delays and allow extra travel time.
4600.0,4735.939,High,High,Avoid peak hours or consider an alternative route.
4591.0,4683.519,High,High,Avoid peak hours or consider an alternative route.
4983.0,4931.493,High,High,Avoid peak hours or consider an alternative route.
5589.0,5278.204,High,High,Avoid peak hours or consider an alternative route.
6317.0,6027.5405,High,High,Avoid peak hours or consider an alternative route.
5951.0,5562.4146,High,High,Avoid peak hours or consider an alternative route.
4350.0,4266.7,Medium,Medium,Expect moderate delays and allow extra travel time.
3144.0,3335.93,Medium,Medium,Expect moderate delays and allow extra travel time.
2319.0,2607.119,Medium,Medium,Expect moderate delays and allow extra travel time.
2105.0,2476.7205,Low,Medium,Expect moderate delays and allow extra travel time.
991.0,1070.1926,Low,Low,Traffic conditions are favorable.
343.0,422.9568,Low,Low,Traffic conditions are favorable.
247.0,368.13013,Low,Low,Traffic conditions are favorable.
325.0,476.68353,Low,Low,Traffic conditions are favorable.
827.0,924.72095,Low,Low,Traffic conditions are favorable.
2757.0,2546.6084,Medium,Medium,Expect moderate delays and allow extra travel time.
5323.0,5154.523,High,High,Avoid peak hours or consider an alternative route.
6420.0,5647.1104,High,High,Avoid peak hours or consider an alternative route.
4478.0,4220.8706,Medium,High,Avoid peak hours or consider an alternative route.
4885.0,4446.641,High,High,Avoid peak hours or consider an alternative route.
4259.0,4404.9624,Medium,Medium,Expect moderate delays and allow extra travel time.
4446.0,4300.6255,Medium,Medium,Expect moderate delays and allow extra travel time.
4738.0,4826.5723,High,High,Avoid peak hours or consider an alternative route.
4656.0,4838.1616,High,High,Avoid peak hours or consider an alternative route.
5094.0,5128.9316,High,High,Avoid peak hours or consider an alternative route.
5442.0,5502.999,High,High,Avoid peak hours or consider an alternative route.
6450.0,6088.8013,High,High,Avoid peak hours or consider an alternative route.
5993.0,5642.687,High,High,Avoid peak hours or consider an alternative route.
4377.0,4389.8086,Medium,Medium,Expect moderate delays and allow extra travel time.
3071.0,3101.2415,Medium,Medium,Expect moderate delays and allow extra travel time.
2646.0,2799.8381,Medium,Medium,Expect moderate delays and allow extra travel time.
3933.0,2755.3235,Medium,Medium,Expect moderate delays and allow extra travel time.
2422.0,2365.0415,Medium,Low,Traffic conditions are favorable.
1185.0,1223.9353,Low,Low,Traffic conditions are favorable.
630.0,749.51886,Low,Low,Traffic conditions are favorable.
379.0,467.57742,Low,Low,Traffic conditions are favorable.
301.0,391.0238,Low,Low,Traffic conditions are favorable.
813.0,821.71387,Low,Low,Traffic conditions are favorable.
2629.0,2415.3242,Medium,Medium,Expect moderate delays and allow extra travel time.
5002.0,5065.4087,High,High,Avoid peak hours or consider an alternative route.
4742.0,5264.2266,High,High,Avoid peak hours or consider an alternative route.
4704.0,4623.694,High,High,Avoid peak hours or consider an alternative route.
4279.0,4680.9316,Medium,Medium,Expect moderate delays and allow extra travel time.
4566.0,4544.7173,Medium,High,Avoid peak hours or consider an alternative route.
4989.0,4940.8096,High,High,Avoid peak hours or consider an alternative route.
4968.0,4842.653,High,High,Avoid peak hours or consider an alternative route.
5315.0,5132.162,High,High,Avoid peak hours or consider an alternative route.
5867.0,5554.953,High,High,Avoid peak hours or consider an alternative route.
6504.0,5871.778,High,High,Avoid peak hours or consider an alternative route.
6185.0,5532.6235,High,High,Avoid peak hours or consider an alternative route.
4611.0,4412.7847,High,Medium,Expect moderate delays and allow extra travel time.
3652.0,3162.3562,Medium,Medium,Expect moderate delays and allow extra travel time.
2880.0,2853.156,Medium,Medium,Expect moderate delays and allow extra travel time.
2815.0,2802.6382,Medium,Medium,Expect moderate delays and allow extra travel time.
2978.0,2578.9211,Medium,Medium,Expect moderate delays and allow extra travel time.
1805.0,1771.2438,Low,Low,Traffic conditions are favorable.
1003.0,1268.8411,Low,Low,Traffic conditions are favorable.
673.0,773.6378,Low,Low,Traffic conditions are favorable.
483.0,555.37695,Low,Low,Traffic conditions are favorable.
319.0,500.32425,Low,Low,Traffic conditions are favorable.
383.0,425.24844,Low,Low,Traffic conditions are favorable.
694.0,688.17773,Low,Low,Traffic conditions are favorable.
1129.0,1390.0912,Low,Low,Traffic conditions are favorable.
1728.0,1867.1517,Low,Low,Traffic conditions are favorable.
2487.0,2599.0842,Medium,Medium,Expect moderate delays and allow extra travel time.
3046.0,3202.8206,Medium,Medium,Expect moderate delays and allow extra travel time.
3593.0,3746.4514,Medium,Medium,Expect moderate delays and allow extra travel time.
4092.0,4068.0576,Medium,Medium,Expect moderate delays and allow extra travel time.
4506.0,4466.417,Medium,Medium,Expect moderate delays and allow extra travel time.
4501.0,4551.0264,Medium,Medium,Expect moderate delays and allow extra travel time.
4857.0,4455.842,High,Medium,Expect moderate delays and allow extra travel time.
4519.0,4536.3823,Medium,Medium,Expect moderate delays and allow extra travel time.
4486.0,4678.9956,Medium,Medium,Expect moderate delays and allow extra travel time.
4536.0,4268.3784,Medium,Medium,Expect moderate delays and allow extra travel time.
3801.0,3907.13,Medium,Medium,Expect moderate delays and allow extra travel time.
3174.0,3142.6453,Medium,Medium,Expect moderate delays and allow extra travel time.
2556.0,2857.6912,Medium,Medium,Expect moderate delays and allow extra travel time.
2463.0,2875.7175,Medium,Medium,Expect moderate delays and allow extra travel time.
2801.0,2762.2563,Medium,Medium,Expect moderate delays and allow extra travel time.
2089.0,2244.33,Low,Low,Traffic conditions are favorable.
1053.0,1272.3818,Low,Low,Traffic conditions are favorable.
648.0,792.09235,Low,Low,Traffic conditions are favorable.
540.0,611.4627,Low,Low,Traffic conditions are favorable.
313.0,499.75928,Low,Low,Traffic conditions are favorable.
260.0,354.28363,Low,Low,Traffic conditions are favorable.
442.0,478.8127,Low,Low,Traffic conditions are favorable.
769.0,656.8155,Low,Low,Traffic conditions are favorable.
1024.0,1109.3132,Low,Low,Traffic conditions are favorable.
1695.0,1964.7277,Low,Low,Traffic conditions are favorable.
2516.0,2652.2603,Medium,Medium,Expect moderate delays and allow extra travel time.
3256.0,3303.2966,Medium,Medium,Expect moderate delays and allow extra travel time.
3670.0,3705.1282,Medium,Medium,Expect moderate delays and allow extra travel time.
4070.0,4044.35,Medium,Medium,Expect moderate delays and allow extra travel time.
4065.0,4036.21,Medium,Medium,Expect moderate delays and allow extra travel time.
4409.0,4039.3638,Medium,Medium,Expect moderate delays and allow extra travel time.
4082.0,4076.7893,Medium,Medium,Expect moderate delays and allow extra travel time.
4050.0,4187.8174,Medium,Medium,Expect moderate delays and allow extra travel time.
4099.0,3816.701,Medium,Medium,Expect moderate delays and allow extra travel time.
2780.0,2751.0742,Medium,Medium,Expect moderate delays and allow extra travel time.
2261.0,2424.178,Medium,Medium,Expect moderate delays and allow extra travel time.
1800.0,2347.7458,Low,Low,Traffic conditions are favorable.
1433.0,1851.9459,Low,Low,Traffic conditions are favorable.
1073.0,1148.9862,Low,Low,Traffic conditions are favorable.
455.0,574.8827,Low,Low,Traffic conditions are favorable.
289.0,341.5497,Low,Low,Traffic conditions are favorable.
220.0,275.71127,Low,Low,Traffic conditions are favorable.
361.0,297.75085,Low,Low,Traffic conditions are favorable.
820.0,759.7062,Low,Low,Traffic conditions are favorable.
2809.0,2442.0432,Medium,Medium,Expect moderate delays and allow extra travel time.
5189.0,5105.2075,High,High,Avoid peak hours or consider an alternative route.
6048.0,5500.541,High,High,Avoid peak hours or consider an alternative route.
5751.0,5069.1865,High,High,Avoid peak hours or consider an alternative route.
4138.0,3899.481,Medium,Medium,Expect moderate delays and allow extra travel time.
4512.0,4261.62,Medium,Medium,Expect moderate delays and allow extra travel time.
4786.0,4439.1367,High,Medium,Expect moderate delays and allow extra travel time.
4880.0,4841.991,High,High,Avoid peak hours or consider an alternative route.
5406.0,5241.612,High,High,Avoid peak hours or consider an alternative route.
6458.0,6087.701,High,High,Avoid peak hours or consider an alternative route.
5732.0,5543.2275,High,High,Avoid peak hours or consider an alternative route.
4446.0,3837.3206,Medium,Medium,Expect moderate delays and allow extra travel time.
2836.0,2622.6763,Medium,Medium,Expect moderate delays and allow extra travel time.
2416.0,2255.0554,Medium,Medium,Expect moderate delays and allow extra travel time.
2076.0,1973.8741,Low,Low,Traffic conditions are favorable.
1481.0,1487.7748,Low,Low,Traffic conditions are favorable.
948.0,828.78076,Low,Low,Traffic conditions are favorable.
560.0,542.9233,Low,Low,Traffic conditions are favorable.
342.0,307.38522,Low,Low,Traffic conditions are favorable.
239.0,247.92403,Low,Low,Traffic conditions are favorable.
334.0,331.12894,Low,Low,Traffic conditions are favorable.
832.0,810.801,Low,Low,Traffic conditions are favorable.
5674.0,5296.1914,High,High,Avoid peak hours or consider an alternative route.
6229.0,5623.9805,High,High,Avoid peak hours or consider an alternative route.
5965.0,5404.445,High,High,Avoid peak hours or consider an alternative route.
5124.0,4651.9487,High,High,Avoid peak hours or consider an alternative route.
4348.0,4307.622,Medium,Medium,Expect moderate delays and allow extra travel time.
4473.0,4459.743,Medium,Medium,Expect moderate delays and allow extra travel time.
